Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2010-01-04,7.643214225769043,57.720001220703125,40.91999816894531,56.18000030517578,58.54999923706055,18.704999923706055,24.690000534057617,79.05999755859375,32.06999969482422,,173.0800018310547,28.670000076293945,38.46846008300781,126.62523651123047,20.8799991607666,64.68000030517578,42.849998474121094,28.520000457763672,62.779998779296875,83.0199966430664,35.314884185791016,30.950000762939453,16.337499618530273,61.119998931884766,49.810001373291016,31.530000686645508,22.03499984741211,31.21294593811035,37.29999923706055,54.22999954223633
2010-01-05,7.656428813934326,57.220001220703125,40.83000183105469,58.02000045776367,59.25,18.625,24.579999923706055,79.62000274658203,31.989999771118164,,176.13999938964844,28.8799991607666,38.54473114013672,125.0956039428711,20.8700008392334,63.93000030517578,43.68000030517578,28.174999237060547,62.29999923706055,82.5,35.45801544189453,30.959999084472656,16.40250015258789,61.13999938964844,48.630001068115234,31.479999542236328,21.782499313354492,31.26921844482422,37.0,53.689998626708984
2010-01-06,7.534643173217773,56.790000915527344,41.4900016784668,59.779998779296875,59.43000030517578,18.592500686645508,24.420000076293945,79.62999725341797,31.81999969482422,,174.25999450683594,28.780000686645508,38.54473114013672,124.2829818725586,20.799999237060547,64.44999694824219,43.91999816894531,28.165000915527344,61.45000076293945,83.66999816894531,35.935115814208984,30.770000457763672,16.302499771118164,60.849998474121094,47.939998626708984,31.790000915527344,21.489999771118164,29.937416076660156,36.720001220703125,53.56999969482422
2010-01-07,7.520713806152344,56.27000045776367,41.97999954223633,62.20000076293945,59.66999816894531,18.510000228881836,24.530000686645508,79.33000183105469,31.829999923706055,,177.6699981689453,29.1200008392334,39.28835678100586,123.85277557373047,20.600000381469727,63.9900016784668,44.790000915527344,28.094999313354492,61.900001525878906,83.7300033569336,35.992366790771484,30.450000762939453,16.462499618530273,60.52000045776367,48.630001068115234,33.0099983215332,21.690000534057617,29.759218215942383,36.939998626708984,53.599998474121094
2010-01-08,7.570713996887207,56.77000045776367,41.95000076293945,61.599998474121094,60.34000015258789,18.537500381469727,24.65999984741211,79.47000122070312,31.8799991607666,,174.30999755859375,28.979999542236328,40.15592575073242,125.0956039428711,20.829999923706055,64.20999908447266,44.68000030517578,27.575000762939453,61.84000015258789,84.31999969482422,35.97328186035156,30.65999984741211,16.43000030517578,60.439998626708984,48.560001373291016,32.70000076293945,21.75,29.77797508239746,36.9900016784668,53.33000183105469
2010-01-11,7.503929138183594,57.02000045776367,41.470001220703125,60.869998931884766,64.12999725341797,18.412500381469727,24.59000015258789,80.87999725341797,31.360000610351562,,171.55999755859375,28.15999984741211,40.66120910644531,123.78585052490234,20.950000762939453,64.22000122070312,44.529998779296875,28.135000228881836,62.31999969482422,83.9800033569336,36.11641311645508,30.270000457763672,16.227500915527344,60.20000076293945,48.540000915527344,32.91999816894531,21.6875,29.899900436401367,37.04999923706055,54.209999084472656
2010-01-12,7.4185709953308105,56.029998779296875,42.02000045776367,60.43000030517578,62.2400016784668,17.072500228881836,24.200000762939453,80.41000366210938,30.81999969482422,,167.82000732421875,27.979999542236328,40.20359420776367,124.77055358886719,20.610000610351562,64.55999755859375,43.4900016784668,28.440000534057617,62.65999984741211,84.05000305175781,35.83015441894531,30.06999969482422,16.204999923706055,60.88999938964844,48.849998474121094,32.04999923706055,21.584999084472656,29.928037643432617,36.7400016784668,54.72999954223633
2010-01-13,7.523213863372803,56.529998779296875,42.150001525878906,61.15999984741211,62.33000183105469,17.125,24.639999389648438,79.80000305175781,31.290000915527344,,169.07000732421875,28.1299991607666,40.34659957885742,124.50286865234375,20.959999084472656,64.97000122070312,44.25,28.514999389648438,62.59000015258789,83.77999877929688,37.14694595336914,30.350000381469727,16.350000381469727,61.52000045776367,49.02000045776367,32.540000915527344,21.78499984741211,29.890522003173828,37.08000183105469,55.0099983215332
2010-01-14,7.479642868041992,56.15999984741211,42.68000030517578,61.560001373291016,61.97999954223633,17.297500610351562,24.950000762939453,79.55000305175781,31.020000457763672,,168.52999877929688,28.299999237060547,40.58494186401367,126.49139404296875,21.479999542236328,65.0999984741211,44.689998626708984,28.565000534057617,62.650001525878906,83.5,38.15839767456055,30.959999084472656,16.247499465942383,61.58000183105469,49.279998779296875,33.31999969482422,21.860000610351562,29.280895233154297,37.11000061035156,54.209999084472656
2010-01-15,7.354642868041992,56.25,42.38999938964844,60.81999969482422,60.119998931884766,17.157499313354492,24.399999618530273,79.2300033569336,30.600000381469727,,165.2100067138672,28.56999969482422,40.64214324951172,125.98470306396484,20.799999237060547,64.55999755859375,43.68000030517578,28.145000457763672,62.279998779296875,83.37000274658203,37.66221237182617,30.860000610351562,16.09749984741211,60.81999969482422,48.790000915527344,33.75,21.53499984741211,28.680646896362305,36.599998474121094,53.68000030517578
2010-01-19,7.679999828338623,57.54999923706055,42.959999084472656,60.650001525878906,60.93000030517578,17.375,24.850000381469727,79.68000030517578,31.010000228881836,,166.86000061035156,28.8799991607666,40.85188293457031,128.2409210205078,21.049999237060547,65.3499984741211,43.279998779296875,28.209999084472656,63.47999954223633,85.12000274658203,38.75954055786133,31.100000381469727,16.177499771118164,61.720001220703125,49.43000030517578,35.130001068115234,21.962499618530273,29.290273666381836,36.7400016784668,54.029998779296875
